home_team,away_team,odds_home,odds_draw,odds_away
Mexico,South Africa,1.32,14.08,7.91
South Korea,Czech Republic,2.27,4.91,3.25
Canada,Bosnia and Herzegovina,1.65,7.71,4.64
United States,Paraguay,2.87,4.1,2.78
Haiti,Scotland,4.43,7.3,1.7
Brazil,Morocco,2.29,4.87,3.23
Qatar,Switzerland,10.17,18.45,1.25
Australia,Turkey,3.18,4.77,2.33
Germany,Curaçao,1.16,30.43,16.39
Netherlands,Japan,2.87,4.1,2.78
Ivory Coast,Ecuador,3.57,5.57,2.03
Sweden,Tunisia,1.9,6.08,3.82
Spain,Cape Verde,1.17,28.6,15.44
Belgium,Egypt,1.82,6.49,4.03
Saudi Arabia,Uruguay,5.41,9.21,1.52
Iran,New Zealand,1.64,7.74,4.65
France,Senegal,1.53,9.06,5.33
Iraq,Norway,5.74,9.86,1.48
Argentina,Algeria,1.42,11.01,6.33
Austria,Jordan,1.6,8.18,4.88
Portugal,DR Congo,1.38,12.12,6.9
England,Croatia,2.02,5.59,3.58
Ghana,Panama,3.66,5.76,1.98
Uzbekistan,Colombia,6.15,10.66,1.44
Czech Republic,South Africa,1.74,6.99,4.27
Switzerland,Bosnia and Herzegovina,1.48,9.76,5.69
Canada,Qatar,1.32,14.09,7.92
Mexico,South Korea,2.07,5.44,3.51
United States,Australia,2.98,4.35,2.58
Scotland,Morocco,4.19,6.81,1.76
Brazil,Haiti,1.24,19.7,10.82
Paraguay,Turkey,3.34,5.09,2.19
Netherlands,Sweden,1.73,7.01,4.29
Germany,Ivory Coast,1.74,6.94,4.25
Ecuador,Curaçao,1.21,22.52,12.29
Tunisia,Japan,7.04,12.39,1.37
Spain,Saudi Arabia,1.18,27.34,14.78
Belgium,Iran,2.08,5.41,3.49
Uruguay,Cape Verde,1.49,9.58,5.59
New Zealand,Egypt,3.96,6.35,1.84
Argentina,Austria,1.48,9.9,5.76
France,Iraq,1.26,18.04,9.96
Norway,Senegal,2.06,5.47,3.52
Jordan,Algeria,4.49,7.42,1.68
Portugal,Uzbekistan,1.44,10.62,6.13
England,Ghana,1.22,21.07,11.53
Panama,Croatia,4.7,7.83,1.63
Colombia,DR Congo,1.38,12.15,6.92
Switzerland,Canada,2.34,4.77,3.18
Bosnia and Herzegovina,Qatar,1.85,6.3,3.93
Scotland,Brazil,5.19,8.78,1.55
Morocco,Haiti,1.31,14.55,8.16
Czech Republic,Mexico,4.24,6.92,1.75
South Africa,South Korea,5.36,9.13,1.52
Ecuador,Germany,3.2,4.82,2.31
Curaçao,Ivory Coast,7.7,13.68,1.33
Japan,Sweden,1.71,7.18,4.37
Tunisia,Netherlands,6.87,12.07,1.38
Turkey,United States,2.15,5.19,3.38
Paraguay,Australia,2.95,4.28,2.64
Norway,France,3.85,6.14,1.89
Senegal,Iraq,1.8,6.62,4.09
Cape Verde,Saudi Arabia,2.88,4.14,2.75
Uruguay,Spain,5.36,9.12,1.52
Egypt,Iran,3.14,4.69,2.38
New Zealand,Belgium,6.64,11.61,1.4
Panama,England,6.99,12.3,1.37
Croatia,Ghana,1.36,12.79,7.24
Colombia,Portugal,2.83,4.05,2.84
DR Congo,Uzbekistan,3.0,4.39,2.56
Algeria,Austria,2.97,4.32,2.6
Jordan,Argentina,14.13,26.07,1.19
